,Player,Team,Span,Mat,Overs,Mdns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,10
0,TG Southee,NZ,2024-2024,3,12.0,1,72,36,7,3/4,5.14,3.00,10.2,-,-,-
1,TA Boult,NZ,2024-2024,4,16.0,2,96,59,9,3/16,6.55,3.68,10.6,-,-,-
2,Sompal Kami,NEP,2024-2024,3,9.0,1,54,34,3,2/10,11.33,3.77,18.0,-,-,-
3,LH Ferguson,NZ,2024-2024,4,16.0,4,96,64,7,3/0,9.14,4.00,13.7,-,-,-
4,Imad Wasim,PAK,2024-2024,3,11.0,-,66,44,3,3/8,14.66,4.00,22.0,-,-,-
5,BJ Currie,SCOT,2024-2024,2,4.0,-,24,16,2,2/16,8.00,4.00,12.0,-,-,-
6,JJ Bumrah,IND,2024-2024,8,29.4,2,178,124,15,3/7,8.26,4.17,11.8,-,-,-
7,S Lamichhane,NEP,2024-2024,2,8.0,1,48,35,2,2/17,17.50,4.37,24.0,-,-,-
8,Mohammad Amir,PAK,2024-2024,4,16.0,1,96,72,7,2/11,10.28,4.50,13.7,-,-,-
9,J Kariko,PNG,2024-2024,3,11.0,-,66,50,1,1/17,50.00,4.54,66.0,-,-,-
10,F Nsubuga,UGA,2024-2024,2,7.0,2,42,33,2,2/4,16.50,4.71,21.0,-,-,-
11,OEG Baartman,SA,2024-2024,5,19.0,1,114,94,6,4/11,15.66,4.94,19.0,1,-,-
12,D Heyliger,CAN,2024-2024,3,11.0,-,66,55,5,2/18,11.00,5.00,13.2,-,-,-
13,RK Paudel,NEP,2024-2024,3,4.0,-,24,20,2,2/20,10.00,5.00,12.0,-,-,-
14,M Pathirana,SL,2024-2024,3,10.0,-,60,51,3,2/12,17.00,5.10,20.0,-,-,-
15,K Bhurtel,NEP,2024-2024,3,8.0,-,48,41,4,4/19,10.25,5.12,12.0,1,-,-
16,DS Airee,NEP,2024-2024,3,9.3,-,57,49,6,3/21,8.16,5.15,9.5,-,-,-
17,Mohammed Siraj,IND,2024-2024,3,11.0,-,66,57,1,1/13,57.00,5.18,66.0,-,-,-
18,Gulbadin Naib,AFG,2024-2024,8,9.0,-,54,47,7,4/20,6.71,5.22,7.7,1,-,-
19,S Dhakal,NEP,2024-2024,1,4.0,-,24,21,-,-,0.00,5.25,-,-,-,-
20,RL Chase,WI,2024-2024,6,15.0,-,90,80,7,3/12,11.42,5.33,12.8,-,-,-
21,N Vanua,PNG,2024-2024,3,8.0,-,48,43,3,2/19,14.33,5.37,16.0,-,-,-
22,MD Shanaka,SL,2024-2024,3,5.0,1,30,27,2,1/6,13.50,5.40,15.0,-,-,-
23,Mustafizur Rahman,BAN,2024-2024,7,26.0,1,156,142,8,3/7,17.75,5.46,19.5,-,-,-
24,BJ McCarthy,IRE,2024-2024,3,10.2,1,62,57,5,3/15,11.40,5.51,12.4,-,-,-
25,Mahmudullah,BAN,2024-2024,7,9.0,-,54,50,1,1/6,50.00,5.55,54.0,-,-,-
26,MJ Santner,NZ,2024-2024,4,13.4,-,82,76,4,2/8,19.00,5.56,20.5,-,-,-
27,C Campher,IRE,2024-2024,3,7.0,-,42,39,2,2/24,19.50,5.57,21.0,-,-,-
28,PA van Meekeren,NED,2024-2024,4,15.0,1,90,84,5,2/15,16.80,5.60,18.0,-,-,-
29,A Nao,PNG,2024-2024,4,13.0,1,78,73,4,2/16,18.25,5.61,19.5,-,-,-
30,N Thushara,SL,2024-2024,3,10.4,-,64,60,8,4/18,7.50,5.62,8.0,1,-,-
31,AJ Hosein,WI,2024-2024,7,25.0,1,150,141,9,5/11,15.66,5.64,16.6,-,1,-
32,A Dutt,NED,2024-2024,2,7.0,-,42,40,3,2/17,13.33,5.71,14.0,-,-,-
33,A Nortje,SA,2024-2024,9,35.0,-,210,201,15,4/7,13.40,5.74,14.0,1,-,-
34,B Masaba,UGA,2024-2024,4,12.0,-,72,69,5,2/21,13.80,5.75,14.4,-,-,-
